scenario,year,rural_population_million,rural_55_59_million,rural_60_64_million,rural_65_69_million,rural_70_74_million,rural_75_79_million,rural_80plus_million,rural_55plus_million,rural_60plus_million,rural_65plus_million,rural_55plus_rate_pct,rural_60plus_rate_pct,rural_65plus_rate_pct,total_55plus_rate_pct,total_60plus_rate_pct,total_65plus_rate_pct
SSP3,2035,618.9101060900001,38.450293290000005,47.80852329000001,45.36736215000001,30.952122910000003,21.171435670000005,21.750754670000003,205.50049198000002,167.05019869,119.24167539999999,33.203609047242914,26.991027783557964,19.266396561742393,14.796524299722863,12.028011711186936,8.585684299809266
SSP3,2040,595.0159951,40.89366768,36.01804476,43.3019141,38.83802784,24.282463,24.71767778,208.05179515999998,167.15812748,131.14008271999998,34.96574829472176,28.09304772586944,22.039757552729352,15.202408043579126,12.214295290253515,9.582445788775669
SSP3,2045,570.27101439,47.46023238000001,38.46535836,32.8640862,37.40150799,30.75084804,28.52616294,215.46819591000005,168.00796353000004,129.54260517000003,37.78347320360991,29.46107364578447,22.715972213416364,16.071955996619547,12.531856896707339,9.662693100420919
SSP3,2050,545.4874726499999,40.86446786999999,44.81502935999999,35.27844317999999,28.664830259999988,29.960267309999995,35.35395818999999,214.93699617,174.0725283,129.25749894,39.40273735817021,31.91137047645635,23.695777707242648,16.439216053202188,13.313742876482355,9.886115417238702
SSP4,2015,638.7387259,36.88618604,35.99736228,23.71731308,15.647432239999999,11.09009646,10.37650064,133.71489074,96.82870469999999,60.83134241999999,20.934207574715643,15.159360278894276,9.523665929960174,9.834472034449915,7.121564271818953,4.47402778057669
SSP4,2020,566.7951884800001,37.468856960000004,31.09616576000001,29.19719488,18.074177920000004,10.808316160000002,10.71142144,137.35613312,99.88727616,68.7911104,24.233821301192425,17.623169389964684,12.136855040086028,10.03474072439776,7.297401980996576,5.025628934998823
SSP4,2025,497.1907392199999,42.162582629999996,31.641687769999997,25.41172193,22.474041099999997,12.68201438,11.007656449999997,145.37970426,103.21712163000001,71.57543386,29.24022770176167,20.760065199912724,14.395970844567337,10.645489699380366,7.5581169373322235,5.2411411053816295
SSP4,2030,431.81004042000006,36.128187000000004,35.670147480000004,26.00909604,19.830680280000003,16.043537880000002,12.63638916,146.31803784000004,110.18985084000005,74.51970336000005,33.88481604033194,25.518130781031374,17.25751983152556,10.838397258660578,8.162229311620695,5.519990293311766
SSP4,2035,372.05196066,24.554205320000005,30.696833180000006,29.445479040000002,20.491170040000004,14.443005220000003,15.969595420000001,135.60028822,111.0460829,80.34924971999999,36.4465995500877,29.846928558852444,21.596244131455393,10.246596997511654,8.391165495035777,6.071568075117371
SSP4,2040,318.16158413999995,23.600156699999996,20.973793399999998,25.539682079999995,23.41681848,15.1841654,17.11131978,125.82593583999999,102.22577913999999,81.25198573999998,39.547809073213905,32.130145258208735,25.53796240348327,9.784918920894583,7.949640539786004,6.31860265786983
SSP4,2045,270.22341499999993,24.706670519999996,20.237609839999994,17.588542439999998,20.543414079999994,17.605992039999997,18.533656399999998,119.21588531999996,94.50921479999997,74.27160495999998,44.117525981232966,34.97447280799112,27.48525880334981,9.622914767026533,7.62863200887902,5.9950846501866595
SSP4,2050,228.02128427,19.20052885,21.27731878,17.06921331,14.314995660000001,15.6929715,21.37403912,108.92906721999998,89.72853836999998,68.45121958999998,47.77144711237442,39.35094859993527,30.019662335094516,9.204124715141178,7.581747266749527,5.783888342102659
SSP5,2015,639.06851146,36.93692228,36.085680919999994,23.81690644,15.7517234,11.201904099999998,10.56018462,134.35332176,97.41639948,61.33071856,21.023304911872398,15.243498581622324,9.596892580403527,9.876328181499415,7.161090763674535,4.508428196421969
SSP5,2020,567.682976,37.58065856,31.270079359999997,29.49326208,18.364448,11.07664,11.204176640000002,138.98926464,101.40860607999998,70.13852671999999,24.48360625843393,17.863598234800683,12.355228126481634,10.138171679492322,7.396958757066266,5.116052862613515
SSP5,2025,498.96812896000006,42.415247210000004,31.908187010000006,25.777976350000007,23.05910159,13.209915880000002,11.921108080000003,148.29153612000002,105.87628891000001,73.96810190000001,29.71964089752271,21.219048425132502,14.82421373368512,10.820029661561092,7.725218960137992,5.397051494022742
SSP5,2030,434.74987368000006,36.43109442000001,36.15313608,26.5403835,20.502066420000006,16.969852440000004,14.13845172,150.73498458000003,114.30389016000002,78.15075408000001,34.67165690103209,26.291874266105943,17.976026863097676,11.090076176364125,8.409718902756646,5.749811952430423
SSP5,2035,376.3505912600001,24.799078260000005,31.20372860000001,30.26978152000001,21.398689960000006,15.489970580000001,18.442784000000003,141.60403292000004,116.80495466000004,85.60122606000003,37.625564090630995,31.03620862370477,22.745075482255007,10.57805108844,8.72551969246836,6.394550521081173
SSP5,2040,323.79682206000007,23.926998520000005,21.366201520000004,26.352951620000006,24.692021160000007,16.514542740000003,20.546251640000005,133.39896720000004,109.47196868000003,88.10576716000003,41.19835591693392,33.8088459249037,27.21020132299936,10.193297220967795,8.364984658739678,6.732348011336503
SSP5,2045,277.0656212800001,25.10844756000001,20.730342920000005,18.206040160000004,21.775573960000006,19.394576040000008,23.054411520000006,128.26939216000002,103.16094460000002,82.43060168000002,46.29567232752132,37.23339767792645,29.75129187778096,10.098012048078955,8.12134870150932,6.489351784381586
SSP5,2050,235.92865373999996,19.567565199999997,21.861686889999998,17.809066109999996,15.247133119999997,17.432588929999998,27.368773499999996,119.28681374999998,99.71924854999997,77.85756165999997,50.560545257659726,42.26669671920961,33.00046875433843,9.741500254793298,8.143524456890114,6.358200314898382
